model,country,total,drift_rate,neutral_collapse_rate,initial_accuracy,final_accuracy,accuracy_gain
qwen7,afghanistan,41,0.073171,0.073171,0.731707,0.804878,0.073171
qwen7,argentina,33,0.242424,0.0,0.606061,0.727273,0.121212
qwen7,australia,25,0.36,0.16,0.56,0.84,0.28
qwen7,austria,33,0.242424,0.060606,0.575758,0.757576,0.181818
qwen7,bangladesh,33,0.242424,0.090909,0.575758,0.757576,0.181818
qwen7,bosnia_and_herzegovina,34,0.235294,0.088235,0.617647,0.735294,0.117647
qwen7,brazil,32,0.15625,0.0,0.625,0.625,0.0
qwen7,cambodia,36,0.25,0.083333,0.611111,0.75,0.138889
qwen7,canada,32,0.28125,0.0625,0.625,0.75,0.125
qwen7,chile,35,0.371429,0.171429,0.485714,0.742857,0.257143
qwen7,china,36,0.027778,0.0,0.666667,0.666667,0.0
qwen7,colombia,32,0.1875,0.09375,0.59375,0.75,0.15625
qwen7,croatia,35,0.228571,0.142857,0.571429,0.742857,0.171429
qwen7,cyprus,35,0.142857,0.057143,0.6,0.714286,0.114286
qwen7,egypt,35,0.257143,0.142857,0.685714,0.828571,0.142857
qwen7,ethiopia,45,0.266667,0.066667,0.6,0.666667,0.066667
qwen7,fiji,21,0.095238,0.0,0.761905,0.857143,0.095238
qwen7,france,34,0.147059,0.058824,0.647059,0.764706,0.117647
qwen7,germany,43,0.255814,0.162791,0.627907,0.767442,0.139535
qwen7,greece,34,0.352941,0.176471,0.558824,0.764706,0.205882
qwen7,hong_kong,35,0.114286,0.028571,0.685714,0.714286,0.028571
qwen7,hungary,36,0.166667,0.111111,0.611111,0.75,0.138889
qwen7,india,29,0.206897,0.068966,0.551724,0.655172,0.103448
qwen7,indonesia,26,0.115385,0.038462,0.653846,0.730769,0.076923
qwen7,iran,44,0.159091,0.022727,0.613636,0.681818,0.068182
qwen7,iraq,34,0.088235,0.0,0.676471,0.705882,0.029412
qwen7,ireland,41,0.219512,0.02439,0.609756,0.731707,0.121951
qwen7,israel,42,0.119048,0.047619,0.595238,0.642857,0.047619
qwen7,italy,34,0.147059,0.088235,0.617647,0.735294,0.117647
qwen7,japan,35,0.142857,0.028571,0.628571,0.714286,0.085714
qwen7,kenya,33,0.272727,0.121212,0.575758,0.787879,0.212121
qwen7,laos,33,0.242424,0.121212,0.666667,0.787879,0.121212
qwen7,lebanon,26,0.307692,0.153846,0.653846,0.730769,0.076923
qwen7,malaysia,34,0.235294,0.0,0.558824,0.705882,0.147059
qwen7,malta,36,0.361111,0.194444,0.472222,0.777778,0.305556
qwen7,mauritius,40,0.3,0.075,0.525,0.65,0.125
qwen7,mexico,34,0.235294,0.058824,0.617647,0.764706,0.147059
qwen7,myanmar,45,0.088889,0.044444,0.644444,0.711111,0.066667
qwen7,nepal,37,0.243243,0.081081,0.621622,0.756757,0.135135
qwen7,netherlands,36,0.111111,0.0,0.666667,0.694444,0.027778
qwen7,new_zealand,42,0.261905,0.02381,0.619048,0.666667,0.047619
qwen7,north_macedonia,34,0.352941,0.235294,0.470588,0.647059,0.176471
qwen7,pakistan,35,0.228571,0.085714,0.628571,0.742857,0.114286
qwen7,palestinian_territories,34,0.264706,0.117647,0.735294,0.735294,0.0
qwen7,papua_new_guinea,34,0.205882,0.058824,0.588235,0.764706,0.176471
qwen7,peru,32,0.375,0.09375,0.5,0.6875,0.1875
qwen7,philippines,32,0.125,0.03125,0.71875,0.78125,0.0625
qwen7,poland,35,0.2,0.085714,0.571429,0.771429,0.2
qwen7,portugal,45,0.2,0.066667,0.488889,0.577778,0.088889
qwen7,romania,36,0.194444,0.027778,0.5,0.638889,0.138889
qwen7,russia,35,0.228571,0.057143,0.571429,0.657143,0.085714
qwen7,samoa,36,0.111111,0.083333,0.694444,0.722222,0.027778
qwen7,saudi_arabia,44,0.159091,0.113636,0.636364,0.727273,0.090909
qwen7,serbia,39,0.307692,0.153846,0.538462,0.717949,0.179487
qwen7,singapore,31,0.096774,0.032258,0.741935,0.806452,0.064516
qwen7,somalia,45,0.288889,0.177778,0.6,0.8,0.2
qwen7,south_africa,36,0.277778,0.138889,0.611111,0.777778,0.166667
qwen7,south_korea,27,0.222222,0.037037,0.555556,0.703704,0.148148
qwen7,south_sudan,27,0.222222,0.185185,0.62963,0.814815,0.185185
qwen7,spain,34,0.235294,0.147059,0.588235,0.823529,0.235294
qwen7,sri_lanka,35,0.171429,0.142857,0.657143,0.771429,0.114286
qwen7,sudan,48,0.3125,0.166667,0.5625,0.729167,0.166667
qwen7,sweden,34,0.117647,0.058824,0.588235,0.705882,0.117647
qwen7,syria,18,0.333333,0.166667,0.666667,0.722222,0.055556
qwen7,taiwan,32,0.15625,0.03125,0.5625,0.71875,0.15625
qwen7,thailand,39,0.153846,0.076923,0.564103,0.666667,0.102564
qwen7,timor-leste,36,0.25,0.138889,0.583333,0.694444,0.111111
qwen7,tonga,35,0.371429,0.085714,0.571429,0.714286,0.142857
qwen7,türkiye,35,0.171429,0.085714,0.628571,0.771429,0.142857
qwen7,ukraine,41,0.195122,0.146341,0.682927,0.829268,0.146341
qwen7,united_kingdom,27,0.37037,0.074074,0.518519,0.703704,0.185185
qwen7,united_states_of_america,42,0.095238,0.047619,0.642857,0.738095,0.095238
qwen7,venezuela,34,0.176471,0.058824,0.617647,0.735294,0.117647
qwen7,vietnam,36,0.305556,0.083333,0.472222,0.75,0.277778
qwen7,zimbabwe,34,0.147059,0.088235,0.676471,0.735294,0.058824
qwen15,afghanistan,41,0.756098,0.609756,0.414634,0.414634,0.0
qwen15,argentina,33,0.606061,0.393939,0.424242,0.575758,0.151515
qwen15,australia,25,0.64,0.48,0.4,0.44,0.04
qwen15,austria,33,0.636364,0.484848,0.393939,0.515152,0.121212
qwen15,bangladesh,33,0.484848,0.30303,0.606061,0.454545,-0.151515
qwen15,bosnia_and_herzegovina,34,0.794118,0.441176,0.411765,0.352941,-0.058824
qwen15,brazil,32,0.875,0.6875,0.53125,0.25,-0.28125
qwen15,cambodia,36,0.777778,0.638889,0.333333,0.444444,0.111111
qwen15,canada,32,0.8125,0.71875,0.46875,0.34375,-0.125
qwen15,chile,35,0.885714,0.628571,0.342857,0.285714,-0.057143
qwen15,china,36,0.611111,0.416667,0.472222,0.527778,0.055556
qwen15,colombia,32,0.6875,0.46875,0.4375,0.3125,-0.125
qwen15,croatia,35,0.742857,0.542857,0.4,0.371429,-0.028571
qwen15,cyprus,35,0.714286,0.342857,0.342857,0.514286,0.171429
qwen15,egypt,35,0.6,0.314286,0.428571,0.542857,0.114286
qwen15,ethiopia,45,0.822222,0.688889,0.4,0.377778,-0.022222
qwen15,fiji,21,0.714286,0.571429,0.52381,0.380952,-0.142857
qwen15,france,34,0.735294,0.441176,0.411765,0.441176,0.029412
qwen15,germany,43,0.767442,0.534884,0.348837,0.418605,0.069767
qwen15,greece,34,0.705882,0.441176,0.352941,0.382353,0.029412
qwen15,hong_kong,35,0.714286,0.514286,0.428571,0.4,-0.028571
qwen15,hungary,36,0.805556,0.5,0.361111,0.222222,-0.138889
qwen15,india,29,0.758621,0.586207,0.413793,0.37931,-0.034483
qwen15,indonesia,26,0.846154,0.615385,0.346154,0.384615,0.038462
qwen15,iran,44,0.727273,0.590909,0.386364,0.409091,0.022727
qwen15,iraq,34,0.823529,0.705882,0.441176,0.411765,-0.029412
qwen15,ireland,41,0.682927,0.560976,0.390244,0.439024,0.04878
qwen15,israel,42,0.738095,0.619048,0.404762,0.357143,-0.047619
qwen15,italy,34,0.764706,0.529412,0.411765,0.382353,-0.029412
qwen15,japan,35,0.714286,0.485714,0.342857,0.542857,0.2
qwen15,kenya,33,0.636364,0.484848,0.515152,0.484848,-0.030303
qwen15,laos,33,0.757576,0.515152,0.454545,0.454545,0.0
qwen15,lebanon,26,0.615385,0.269231,0.307692,0.576923,0.269231
qwen15,malaysia,34,0.852941,0.647059,0.441176,0.411765,-0.029412
qwen15,malta,36,0.666667,0.416667,0.444444,0.416667,-0.027778
qwen15,mauritius,40,0.775,0.5,0.375,0.475,0.1
qwen15,mexico,34,0.676471,0.588235,0.411765,0.588235,0.176471
qwen15,myanmar,45,0.733333,0.444444,0.377778,0.666667,0.288889
qwen15,nepal,37,0.756757,0.459459,0.378378,0.432432,0.054054
qwen15,netherlands,36,0.666667,0.5,0.416667,0.416667,0.0
qwen15,new_zealand,42,0.785714,0.666667,0.428571,0.428571,0.0
qwen15,north_macedonia,34,0.764706,0.441176,0.352941,0.441176,0.088235
qwen15,pakistan,35,0.685714,0.514286,0.457143,0.228571,-0.228571
qwen15,palestinian_territories,34,0.676471,0.441176,0.529412,0.5,-0.029412
qwen15,papua_new_guinea,34,0.705882,0.529412,0.441176,0.382353,-0.058824
qwen15,peru,32,0.6875,0.4375,0.375,0.46875,0.09375
qwen15,philippines,32,0.6875,0.4375,0.4375,0.5,0.0625
qwen15,poland,35,0.657143,0.514286,0.485714,0.4,-0.085714
qwen15,portugal,45,0.733333,0.488889,0.311111,0.533333,0.222222
qwen15,romania,36,0.583333,0.333333,0.5,0.361111,-0.138889
qwen15,russia,35,0.8,0.571429,0.4,0.571429,0.171429
qwen15,samoa,36,0.722222,0.361111,0.416667,0.472222,0.055556
qwen15,saudi_arabia,44,0.795455,0.477273,0.340909,0.409091,0.068182
qwen15,serbia,39,0.717949,0.487179,0.384615,0.487179,0.102564
qwen15,singapore,31,0.677419,0.548387,0.548387,0.419355,-0.129032
qwen15,somalia,45,0.755556,0.422222,0.377778,0.377778,0.0
qwen15,south_africa,36,0.638889,0.5,0.333333,0.5,0.166667
qwen15,south_korea,27,0.740741,0.555556,0.37037,0.62963,0.259259
qwen15,south_sudan,27,0.666667,0.444444,0.407407,0.37037,-0.037037
qwen15,spain,34,0.647059,0.411765,0.470588,0.411765,-0.058824
qwen15,sri_lanka,35,0.8,0.542857,0.542857,0.371429,-0.171429
qwen15,sudan,48,0.916667,0.604167,0.333333,0.291667,-0.041667
qwen15,sweden,34,0.529412,0.382353,0.382353,0.617647,0.235294
qwen15,syria,18,0.833333,0.555556,0.333333,0.111111,-0.222222
qwen15,taiwan,32,0.78125,0.625,0.46875,0.40625,-0.0625
qwen15,thailand,39,0.871795,0.589744,0.358974,0.307692,-0.051282
qwen15,timor-leste,36,0.75,0.416667,0.388889,0.472222,0.083333
qwen15,tonga,35,0.714286,0.542857,0.428571,0.428571,0.0
qwen15,türkiye,35,0.685714,0.428571,0.371429,0.542857,0.171429
qwen15,ukraine,41,0.682927,0.463415,0.414634,0.414634,0.0
qwen15,united_kingdom,27,0.814815,0.62963,0.37037,0.296296,-0.074074
qwen15,united_states_of_america,42,0.690476,0.52381,0.357143,0.452381,0.095238
qwen15,venezuela,34,0.735294,0.588235,0.470588,0.470588,0.0
qwen15,vietnam,36,0.777778,0.638889,0.444444,0.416667,-0.027778
qwen15,zimbabwe,34,0.617647,0.441176,0.382353,0.617647,0.235294
